576;511
484;547
481;540
487;541
481;542
488;543
489;539
487;538
483;539
480;543
479;540
480;546
250;532
275;544
311;555
315;560
320;564
316;560
431;547
526;574
499;581
482;681
495;687
522;633
531;620
510;621
504;610
505;608
511;606
515;603
514;610
518;610
521;607
322;480
380;454
418;454
432;467
440;462
450;468
457;475
389;476
403;477
413;483
491;482
806;488
833;497
845;501
815;502
792;507
790;514
399;539
218;500
361;516
391;528
439;443
607;402
619;401
625;415
603;417
600;427
591;425
57;550
304;600
363;594
403;592
372;547
424;552
338;560
331;561
347;566
357;563
361;568
455;577
540;572
547;577
584;564
570;574
530;584
442;698
467;702
503;694
498;689
444;561
478;528
511;534
521;536
537;534
587;546
814;594
804;615
793;617
798;625
804;628
814;584
838;550
264;525
432;540
505;551
515;549
478;548
597;558
592;485
676;420
630;420
621;432
626;434
616;437
470;502
456;572
440;575
442;566
404;574
361;568
333;555
342;548
369;544
356;545
357;543
374;551
496;569
640;600
722;600
720;599
582;661
522;686
506;689
534;695
530;689
678;631
845;531
831;531
831;533
890;545
887;550
872;545
867;545
866;537
860;543
672;511
633;491
505;390
586;382
592;396
587;395
579;401
574;401
568;406
572;410
569;422
344;526
262;620
306;620
324;596
327;605
354;602
355;604
356;611
359;611
359;611
381;620
430;630
425;633
505;651
487;652
129;659
398;651
436;650
452;646
461;645
465;637
466;633
474;633
475;628
477;624
479;625
513;602
137;573
360;538
404;544
142;545
402;562
207;550
259;543
408;552
461;554
523;583
529;584
525;582
192;541
384;539
428;539
115;525
385;518
476;524
494;529
487;544
507;545
532;559
551;554
451;567
465;578
225;576
401;571
419;570
402;568
465;556
469;552
477;550
503;558
664;603
685;687
732;701
740;695
714;641
501;567
674;536
752;496
752;492
733;494
768;494
750;496
713;494
668;492
663;492
616;502
625;502
588;486
654;456
647;457
678;494
686;469
708;503
698;473
712;506
517;449
718;539
711;537
703;540
699;535
588;534
322;522
418;518
440;516
445;517
452;520
461;520
537;538
541;537
512;535
428;507
444;499
446;503
448;503
453;501
455;508
452;495
502;498
502;499
502;496
496;501
496;506
494;509
493;510
491;507
490;503
506;492
504;487
505;486
511;487
508;490
513;497
511;492
509;499
509;499
507;502
502;496
506;502
512;502
462;504
363;533
423;528
433;535
445;534
405;524
393;508
400;507
398;509
384;516
382;517
423;540
505;585
499;650
496;670
484;676
478;678
481;678
482;673
491;675
495;671
497;661
665;622
852;545
861;535
851;538
824;540
813;548
805;553
805;554
797;555
792;556
790;562
790;560
425;438
417;396
491;402
506;413
517;407
509;406
506;415
510;413
506;417
513;418
500;415
352;465
195;591
219;596
238;581
261;565
260;563
279;559
282;552
292;552
293;553
298;549
294;547
294;550
298;547
356;565
469;647
519;693
552;682
603;680
584;666
572;663
572;659
571;661
566;658
559;657
718;553
799;493
796;496
782;501
782;507
778;506
778;517
776;523
777;523
776;524
712;511
472;390
514;372
522;383
521;387
513;395
504;405
503;407
497;409
490;411
491;412
418;456
177;587
207;593
225;599
234;613
247;574
271;575
286;570
275;581
275;583
254;590
263;597
266;594
334;641
425;693
436;702
447;693
453;692
451;692
444;691
444;682
446;680
440;680
629;589
783;527
792;523
775;525
768;530
768;532
755;533
755;533
741;530
731;536
737;532
727;533
385;433
481;385
493;383
