502;-17;446;17
485;-39;-368;39
446;-4;;4
442;241;;241
683;-70;;70
613;-19;;19
594;-23;;23
571;122;;122
693;-14;;14
679;-24;;24
655;-29;;29
626;7;;7
633;59;;59
692;-178;;178
514;0;;0
514;6;;6
520;-5;;5
515;-7;;7
508;10;;10
518;174;;174
692;-8;;8
684;-21;;21
663;-22;;22
641;-14;;14
627;-36;;36
591;-121;;121
470;-3;;3
467;-28;;28
439;14;;14
453;14;;14
467;35;;35
502;-328;;328
174;-7;;7
167;4;;4
171;10;;10
181;12;;12
193;102;;102
295;250;;250
545;-12;;12
533;-7;;7
526;1;;1
527;-2;;2
525;8;;8
533;5;;5
538;-266;;266
272;-56;;56
216;30;;30
246;20;;20
266;17;;17
283;372;;372
655;-33;;33
622;-12;;12
610;0;;0
610;-1;;1
609;-5;;5
604;199;;199
803;-41;;41
762;-21;;21
741;3;;3
744;7;;7
751;-1;;1
750;-146;;146
604;20;;20
624;14;;14
638;4;;4
642;-6;;6
636;-7;;7
629;-16;;16
613;182;;182
795;-24;;24
771;-46;;46
725;-16;;16
709;-19;;19
690;-9;;9
681;0;;0
681;-93;;93
588;-101;;101
487;4;;4
491;-47;;47
444;20;;20
464;4;;4
468;1;;1
469;-3;;3
466;-315;;315
151;5;;5
156;1;;1
157;12;;12
169;0;;0
836;-255;;255
581;-46;;46
535;-14;;14
521;-5;;5
516;-1;;1
515;0;;0
515;-6;;6
509;-43;;43
466;-289;;289
177;-20;;20
157;13;;13
170;10;;10
180;0;;0
180;167;;167
347;181;;181
528;3;;3
531;3;;3
534;1;;1
535;-2;;2
533;-2;;2
531;181;;181
712;-14;;14
698;-19;;19
679;-18;;18
661;-2;;2
659;-126;;126
533;-41;;41
492;6;;6
498;0;;0
498;5;;5
503;-6;;6
497;121;;121
618;54;;54
672;-26;;26
646;-22;;22
624;-14;;14
610;-119;;119
491;7;;7
498;-55;;55
443;4;;4
447;5;;5
452;5;;5
457;-5;;5
452;9;;9
461;-3;;3
458;-4;;4
454;-40;;40
414;-266;;266
148;6;;6
154;7;;7
161;320;;320
481;-3;;3
478;8;;8
486;4;;4
490;3;;3
493;0;;0
493;-1;;1
492;20;;20
512;-296;;296
216;-33;;33
183;10;;10
193;8;;8
201;7;;7
208;259;;259
467;43;;43
510;7;;7
517;-1;;1
516;22;;22
538;-17;;17
521;-1;;1
520;62;;62
582;-310;;310
272;-53;;53
219;-1;;1
218;17;;17
235;4;;4
239;277;;277
516;56;;56
572;-30;;30
542;11;;11
553;14;;14
567;-6;;6
561;-3;;3
558;3;;3
561;-87;;87
474;-237;;237
237;10;;10
247;14;;14
261;6;;6
267;345;;345
612;-20;;20
592;-13;;13
579;-1;;1
578;-9;;9
569;-6;;6
563;-9;;9
554;-271;;271
283;-32;;32
251;2;;2
253;2;;2
255;25;;25
280;446;;446
726;-78;;78
648;-19;;19
629;-6;;6
623;-10;;10
613;174;;174
787;-30;;30
757;-23;;23
734;0;;0
734;-65;;65
669;-71;;71
598;-32;;32
566;-15;;15
551;9;;9
560;-1;;1
559;-3;;3
556;167;;167
723;-3;;3
720;-18;;18
702;-14;;14
688;-4;;4
684;-145;;145
539;-29;;29
510;7;;7
517;-33;;33
484;11;;11
495;-3;;3
492;152;;152
644;2;;2
646;4;;4
650;-8;;8
642;-4;;4
638;-121;;121
517;-21;;21
496;-24;;24
472;3;;3
475;-9;;9
466;-5;;5
461;154;;154
615;21;;21
636;-10;;10
626;16;;16
642;-7;;7
635;-53;;53
582;-77;;77
505;-36;;36
469;-3;;3
466;3;;3
469;-4;;4
465;145;;145
610;11;;11
621;-8;;8
613;0;;0
613;47;;47
660;-201;;201
459;-9;;9
450;-4;;4
446;8;;8
454;5;;5
459;-96;;96
363;5;;5
368;-368;;368
;;;
;;;50,28286853
