589;537;;324
441;569;-148;-392
437;570;-4;
443;566;6;
447;564;4;
416;568;-31;
221;577;-195;
224;580;3;
262;580;38;
295;579;33;
304;579;9;
308;575;4;
305;576;-3;
302;579;-3;
303;576;1;
309;574;6;
306;577;-3;
307;576;1;
300;572;-7;
302;576;2;
232;580;-70;
374;570;142;
466;564;92;
477;565;11;
473;565;-4;
472;566;-1;
472;564;0;
472;556;0;
470;556;-2;
475;557;5;
471;558;-4;
471;559;0;
467;555;-4;
467;560;0;
465;562;-2;
419;554;-46;
248;571;-171;
198;573;-50;
250;565;52;
284;570;34;
292;577;8;
299;575;7;
317;582;18;
318;580;1;
316;575;-2;
310;578;-6;
327;583;17;
332;577;5;
336;574;4;
333;578;-3;
328;578;-5;
335;576;7;
331;576;-4;
335;577;4;
396;575;61;
431;565;35;
514;561;83;
508;563;-6;
499;567;-9;
502;567;3;
501;572;-1;
498;572;-3;
495;572;-3;
497;572;2;
498;570;1;
497;565;-1;
498;568;1;
501;564;3;
497;563;-4;
494;567;-3;
494;563;0;
494;564;0;
477;570;-17;
383;579;-94;
382;575;-1;
382;576;0;
365;572;-17;
368;576;3;
368;573;0;
369;575;1;
375;567;6;
374;573;-1;
374;572;0;
377;574;3;
376;578;-1;
374;578;-2;
374;579;0;
370;579;-4;
373;577;3;
370;578;-3;
367;575;-3;
369;581;2;
414;576;45;
518;567;104;
546;569;28;
537;568;-9;
530;566;-7;
526;567;-4;
525;574;-1;
523;569;-2;
516;570;-7;
509;568;-7;
502;570;-7;
497;568;-5;
496;569;-1;
495;568;-1;
486;565;-9;
491;571;5;
498;575;7;
495;580;-3;
382;591;-113;
384;589;2;
382;589;-2;
373;588;-9;
358;584;-15;
365;583;7;
369;581;4;
374;587;5;
373;585;-1;
381;586;8;
383;579;2;
379;586;-4;
384;581;5;
389;583;5;
392;586;3;
394;583;2;
390;584;-4;
391;584;1;
390;586;-1;
386;584;-4;
392;582;6;
389;580;-3;
526;575;137;
537;574;11;
537;571;0;
