74;513;5,696428571
83;522;
90;523;
101;518;
113;540;
124;531;
133;528;
142;525;
155;521;
164;521;
168;521;
180;522;
188;528;
196;529;
204;528;
211;529;
217;529;
221;525;
227;527;
233;523;
237;519;
242;510;
249;510;
253;511;
259;510;
266;511;
266;512;
275;513;
285;513;
294;513;
300;514;
306;512;
310;515;
312;510;
317;512;
321;511;
327;510;
324;514;
325;513;
330;513;
337;511;
343;508;
346;502;
357;508;
354;508;
362;512;
363;510;
367;512;
371;509;
375;506;
371;508;
379;514;
383;495;
377;501;
388;500;
393;505;
;501;
;502;
;500;
;501;
;502;
;501;
;501;
;501;
;502;
;502;
;503;
;503;
;505;
;505;
;506;
;506;
;505;
;507;
;505;
;508;
;507;
;509;
;509;
;507;
;509;
;510;
;511;
;513;
;509;
;511;
;509;
;513;
;510;
;513;
;511;
;514;
;512;
;512;
;515;
;490;
;501;
;503;
;509;
;511;
;510;
;514;
;512;
;513;
;514;
;512;
;516;
;513;
;515;
;514;
;515;
;516;
;516;
;519;
;520;
;518;
;518;
;519;
;519;
;520;
;520;
;524;
;520;
;518;
;521;
;528;
;533;
;522;
;518;
;520;
;519;
;510;
;510;
;510;
;509;
;510;
;508;
;511;
;510;
;513;
;510;
;513;
;514;
;512;
;513;
;512;
;512;
;511;
;512;
;516;
;505;
;558;
;589;
;579;
;568;
;556;
;553;
;547;
;536;
;508;
;501;
