signaal;tijd
706;0,1
674;0,2
675;0,3
314;0,4
323;0,5
315;0,6
321;0,7
331;0,8
338;0,9
329;1
408;1,1
701;1,2
696;1,3
674;1,4
643;1,5
641;1,6
620;1,7
615;1,8
615;1,9
614;2
596;2,1
588;2,2
575;2,3
565;2,4
540;2,5
527;2,6
515;2,7
503;2,8
492;2,9
480;3
483;3,1
474;3,2
467;3,3
468;3,4
453;3,5
250;3,6
143;3,7
135;3,8
132;3,9
116;4
120;4,1
116;4,2
124;4,3
118;4,4
120;4,5
0;4,6
0;4,7
0;4,8
0;4,9
0;5
0;5,1
0;5,2
8;5,3
17;5,4
61;5,5
70;5,6
75;5,7
64;5,8
40;5,9
