NDistance;NTime;D*T
2,392857143;7,148712533;17,10584785
1,814814815;5,197511073;9,432520095
3,24;6,62009716;21,4491148
1;1,8954111;1,8954111
1,225352113;1,905301826;2,334665618
1,086956522;1,679314012;1,825341318
1,093023256;2,191506985;2,395368099
1,655737705;2,793859849;4,625899095
1;1,69434383;1,69434383
4,666666667;8,358364105;39,00569916
4,05;10,02658045;40,60765083
1,428571429;2,434156707;3,477366725
2,55;5,018169284;12,79633167
1,72;3,690755558;6,34809956
3,05;5,014120996;15,29306904
1,238095238;1,741688535;2,156376282
1,127659574;1,600069137;1,804333283
1;3,681950569;3,681950569
2,857142857;5,728251662;16,36643332
1;1,456121877;1,456121877
1;3,75855267;3,75855267
1,431372549;2,378085875;3,403926841
1;1,477477425;1,477477425
1,72;2,405706406;4,137815018
1,242424242;2,035823482;2,529356448
1,076923077;2,04384116;2,201059711
1,75862069;2,971215166;5,225240464
1,333333333;2,229000065;2,972000087
1,75;3,570545614;6,248454824
1,153846154;2,157076444;2,488934359
1,628571429;4,472555433;7,283875991
1,04;8,02287159;8,343786453
1;2,648092168;2,648092168
1;1,81695208;1,81695208
1,428571429;2,219269957;3,170385653
1,4375;2,507640645;3,604733427
2;2,954972982;5,909945965
1,4;1,982671785;2,775740499
1,717948718;2,853696407;4,902504085
1;1,528260529;1,528260529
1,88;7,335513592;13,79076555
1,228571429;1,690260887;2,076606233
1,418604651;3,24276159;4,600196674
1,043956044;1,609209239;1,679943711
1;1,458313501;1,458313501
1,057142857;3,52110202;3,722307849
1,375;2,536800466;3,488100641
1;1,858797306;1,858797306
